ring,vertex,east_km,north_km
0,385,-6.78418148727625,2.034355096249089
0,386,-6.936369465454352,2.0318210583534095
0,387,-6.949664963351928,2.125093527595213
0,388,-7.041346502205815,2.179662439753902
0,389,-7.036764551342158,2.2545338935712014
0,390,-7.114004959460016,2.2345478477716303
0,391,-7.146325658776776,2.3275029186110205
0,392,-7.222420994371996,2.3262341542972185
0,393,-7.269630280258504,2.175856743652871
0,394,-7.326701168759398,2.174904778193045
0,395,-7.34114436802245,2.2494588491890286
0,396,-7.397070474808128,2.267224451489009
0,397,-7.618923873565727,2.0578345500477333
0,398,-7.722053544224789,1.9252206452376692
0,399,-7.732355209592619,1.7567598914176108
0,400,-7.772690457833547,1.7186884488582879
0,401,-7.717910738206812,1.6822062601400805
0,402,-7.7213446613826875,1.6260526669337974
0,403,-7.77955787890121,1.6063812669738478
0,404,-7.968641984193555,1.6219191153817103
0,405,-8.039012197456833,1.7142357383554823
0,406,-8.209074745119356,1.7300886494459051
0,407,-8.2425447437455,1.8043231567540539
0,408,-8.391297722300637,1.8579280704673002
0,409,-8.63745441442873,1.872501074547528
0,410,-8.62944996500303,2.0035260230496483
0,411,-8.798372682489513,2.0380898094979973
0,412,-8.832989540754525,2.093604879064453
0,413,-8.814697530970918,2.3930903675252337
0,414,-9.033838375690571,2.5390001918088303
0,415,-8.9573345501497,2.858161928170576
0,416,-9.125124663571807,2.9114390889543547
0,417,-9.193222668295842,3.0411848862369015
0,418,-9.551261065569486,3.091257828236747
0,419,-9.708776379321248,3.312988358733518
0,420,-9.859832798249665,3.3291415923534515
0,421,-9.913481604782547,3.3843329168466325
0,422,-9.92337166088705,3.533754656753242
0,423,-10.105630785346836,3.6615704256258867
0,424,-10.089647896062523,3.923619691628349
0,425,-10.30768188967828,4.088225985239723
0,426,-10.268874690597054,4.724630955877075
0,427,-10.150149234608715,4.801429555861763
0,428,-10.080511311359283,5.008288625998096
0,429,-9.873498920420284,4.974383679713111
0,430,-9.77608037899198,5.013423128596889
0,431,-9.528337313715394,5.335472405049768
0,432,-9.641359418010808,5.352267188381127
0,433,-9.727359787670094,5.500406301042713
0,434,-9.62079983188165,5.68918731417638
0,435,-9.326637539907868,5.525853380505958
0,436,-9.288582227834087,5.526493711563286
0,437,-9.285154335282813,5.582647076689171
0,438,-9.1508173618862,5.603605270317369
0,439,-9.145103341547621,5.697194213274499
0,440,-8.901169892263903,5.645198474726613
0,441,-8.75196881187218,5.909484586673345
0,442,-8.32190941982029,6.103685572976229
0,443,-8.138068203974127,6.312451009030907
0,444,-8.045212620938093,6.276608885905538
0,445,-7.891838183541961,6.297874958721858
0,446,-7.8457696155097985,6.429536337309975
0,447,-7.528001028218347,6.3413565366195455
0,448,-7.404232443513237,6.810890998201819
0,449,-7.286620041047066,6.8689511328122785
0,450,-7.2428349784627075,6.963175482990332
0,451,-7.103900203543817,7.058987567622364
0,452,-6.834045057273842,7.11958367286442
0,453,-6.69281428417062,7.252827817612328
0,454,-6.578633422431635,7.254729395164278
0,455,-6.55731119524204,7.292481826261764
0,456,-6.4465684829616094,7.238229010456993
0,457,-6.158822959078168,7.280412215043385
0,458,-6.049228257615292,7.207438547586122
0,459,-5.935047319763622,7.209335201788751
0,460,-5.811011979406068,7.061804446817077
0,461,-5.717009096078857,7.04466567258378
0,462,-5.634478473066159,6.8403482193669545
0,463,-4.920531868622537,6.702581952150082
0,464,-4.7359771178794645,6.612138699230428
0,465,-4.685778901817963,6.500775048091672
0,466,-4.533543624351707,6.503289396225862
0,467,-4.35653471969115,6.59970531910898
0,468,-4.185268570334181,6.602530170870029
0,469,-4.037628676617473,6.5301681991971385
0,470,-3.9777335278589914,6.8864339884423655
0,471,-3.982972302571394,7.110734312380776
0,472,-4.055645744965928,7.165633371215604
0,473,-4.051049007758163,7.240504643715862
0,474,-3.9691809285983513,7.335348134543448
0,475,-3.9576879765058863,7.522526289803896
0,476,-3.8400549348100395,7.58056062972665
0,477,-3.8129777305717902,7.711898723225366
0,478,-3.7737661309107073,7.731243263272808
0,479,-3.814766751017993,7.992352479299159
0,480,-3.5547107516122685,8.202320725194623
0,481,-3.528780089463685,8.31494065633735
0,482,-3.287746561410043,8.524591740141215
0,483,-3.195514707126299,8.78789196304101
0,484,-3.2099462645954118,8.8624504578438
0,485,-3.2658937732571025,8.880229983606474
0,486,-3.3259230450140573,9.141027773243598
0,487,-3.4868702082982446,9.306670890960161
0,488,-3.654718964474812,9.3600052756642
0,489,-3.8739214416339265,9.505985871805535
0,490,-3.8670250825699912,9.61829257705366
0,491,-3.6427112991449984,9.865072137067115
