panel,segment,from,to,row,col,t_enter,t_exit,elevation_m,point_contact,distance_enter_m,distance_exit_m
2,1,O01,S014,785,822,0.5710603721350102,0.5763268107438199,355.32073974609375,False,3094.8824162439305,3123.424071455789
2,1,O01,S014,785,823,0.5763268107438199,0.5815932493526297,370.2837219238281,False,3123.424071455789,3151.9657266676486
2,1,O01,S014,785,824,0.5815932493526297,0.5868596879614394,385.6121826171875,False,3151.9657266676486,3180.5073818795076
2,1,O01,S014,785,825,0.5868596879614394,0.5921261265702491,392.81231689453125,False,3180.5073818795076,3209.0490370913667
2,1,O01,S014,785,826,0.5921261265702491,0.5973925651790589,388.2697448730469,False,3209.0490370913667,3237.590692303226
2,1,O01,S014,785,827,0.5973925651790589,0.6005582829936009,381.0928649902344,False,3237.590692303226,3254.7474149145087
2,1,O01,S014,786,827,0.6005582829936009,0.6026590037878686,375.3927917480469,False,3254.7474149145087,3266.1323475150853
2,1,O01,S014,786,828,0.6026590037878686,0.6079254423966783,369.92364501953125,False,3266.1323475150853,3294.6740027269443
2,1,O01,S014,786,829,0.6079254423966783,0.613191881005488,363.81341552734375,False,3294.6740027269443,3323.215657938803
2,1,O01,S014,786,830,0.613191881005488,0.6184583196142979,356.15350341796875,False,3323.215657938803,3351.7573131506624
2,1,O01,S014,786,831,0.6184583196142979,0.6237247582231076,345.24981689453125,False,3351.7573131506624,3380.2989683625215
2,1,O01,S014,786,832,0.6237247582231076,0.6289911968319173,332.8507995605469,False,3380.2989683625215,3408.8406235743805
2,1,O01,S014,786,833,0.6289911968319173,0.6342576354407271,315.9678039550781,False,3408.8406235743805,3437.38227878624
2,1,O01,S014,786,834,0.6342576354407271,0.6395240740495368,287.9430236816406,False,3437.38227878624,3465.923933998099
2,1,O01,S014,786,835,0.6395240740495368,0.6447905126583465,269.153076171875,False,3465.923933998099,3494.4655892099577
2,1,O01,S014,786,836,0.6447905126583465,0.6500569512671563,256.989013671875,False,3494.4655892099577,3523.007244421817
2,1,O01,S014,786,837,0.6500569512671563,0.6553233898759661,253.11892700195312,False,3523.007244421817,3551.5488996336762
2,1,O01,S014,786,838,0.6553233898759661,0.6605898284847758,256.8568420410156,False,3551.5488996336762,3580.0905548455353
2,1,O01,S014,786,839,0.6605898284847758,0.6658562670935856,264.1955871582031,False,3580.0905548455353,3608.632210057395
2,1,O01,S014,786,840,0.6658562670935856,0.6711227057023953,281.81011962890625,False,3608.632210057395,3637.173865269254
2,1,O01,S014,786,841,0.6711227057023953,0.676389144311205,290.5700988769531,False,3637.173865269254,3665.715520481113
2,1,O01,S014,786,842,0.676389144311205,0.6816555829200148,286.842529296875,False,3665.715520481113,3694.2571756929724
2,1,O01,S014,786,843,0.6816555829200148,0.6847384689982141,283.5062561035156,False,3694.2571756929724,3710.9649887023584
2,1,O01,S014,787,843,0.6847384689982141,0.6869220215288245,298.7863464355469,False,3710.9649887023584,3722.798830904831
2,1,O01,S014,787,844,0.6869220215288245,0.6921884601376342,291.2650146484375,False,3722.798830904831,3751.34048611669
2,1,O01,S014,787,845,0.6921884601376342,0.6974548987464441,302.6631774902344,False,3751.34048611669,3779.8821413285496
2,1,O01,S014,787,846,0.6974548987464441,0.7027213373552538,318.6530456542969,False,3779.8821413285496,3808.4237965404086
2,1,O01,S014,787,847,0.7027213373552538,0.7079877759640635,321.8570251464844,False,3808.4237965404086,3836.9654517522677
2,1,O01,S014,787,848,0.7079877759640635,0.7132542145728733,319.16632080078125,False,3836.9654517522677,3865.507106964127
2,1,O01,S014,787,849,0.7132542145728733,0.718520653181683,309.9738464355469,False,3865.507106964127,3894.0487621759858
2,1,O01,S014,787,850,0.718520653181683,0.7237870917904927,308.8295593261719,False,3894.0487621759858,3922.590417387845
2,1,O01,S014,787,851,0.7237870917904927,0.7290535303993025,315.8067932128906,False,3922.590417387845,3951.1320725997043
2,1,O01,S014,787,852,0.7290535303993025,0.7343199690081122,320.88958740234375,False,3951.1320725997043,3979.6737278115634
2,1,O01,S014,787,853,0.7343199690081122,0.739586407616922,326.9061584472656,False,3979.6737278115634,4008.2153830234224
2,1,O01,S014,787,854,0.739586407616922,0.7448528462257318,344.4620056152344,False,4008.2153830234224,4036.757038235282
2,1,O01,S014,787,855,0.7448528462257318,0.7501192848345415,360.79150390625,False,4036.757038235282,4065.298693447141
2,1,O01,S014,787,856,0.7501192848345415,0.7553857234433512,368.4179992675781,False,4065.298693447141,4093.8403486589996
2,1,O01,S014,787,857,0.7553857234433512,0.760652162052161,366.3319396972656,False,4093.8403486589996,4122.382003870859
2,1,O01,S014,787,858,0.760652162052161,0.7659186006609707,357.1737365722656,False,4122.382003870859,4150.923659082719
2,1,O01,S014,787,859,0.7659186006609707,0.7689186550028272,368.17718505859375,False,4150.923659082719,4167.182562490207
2,1,O01,S014,788,859,0.7689186550028272,0.7711850392697804,371.6614074707031,False,4167.182562490207,4179.465314294577
2,1,O01,S014,788,860,0.7711850392697804,0.7764514778785901,390.6653137207031,False,4179.465314294577,4208.006969506436
2,1,O01,S014,788,861,0.7764514778785901,0.7817179164874,405.0166015625,False,4208.006969506436,4236.548624718295
2,1,O01,S014,788,862,0.7817179164874,0.7869843550962097,402.1581726074219,False,4236.548624718295,4265.090279930155
2,1,O01,S014,788,863,0.7869843550962097,0.7922507937050194,395.8411865234375,False,4265.090279930155,4293.631935142013
