方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
及时性优先,局部组批重排,0,43,能耗,可行，未证最优,219,97239315417,85132960064.0,否,否,4.9716719000000005
及时性优先,局部组批重排,0,43,架次,可行，未证最优,219,37,32.0,否,否,4.942301400000001
及时性优先,局部组批重排,1,44,加权逾期,当前模型已证最优,56,0,0.0,是,是,0.0353981
及时性优先,局部组批重排,1,44,最后返航,当前模型已证最优,56,7871159,7871159.0,是,是,1.1670384
及时性优先,局部组批重排,1,44,能耗,当前模型已证最优,56,87831615549,87831615549.0,是,是,0.0254226
及时性优先,局部组批重排,1,44,架次,当前模型已证最优,56,32,32.0,是,是,0.0212933
及时性优先,局部组批重排,2,45,加权逾期,当前模型已证最优,209,0,0.0,是,是,2.3643707000000003
及时性优先,局部组批重排,2,45,最后返航,可行，未证最优,209,9616946,7149575.0,否,否,5.8537013
及时性优先,局部组批重排,2,45,能耗,可行，未证最优,209,86365988199,81235570985.0,否,否,5.8396653
及时性优先,局部组批重排,2,45,架次,当前模型已证最优,209,33,33.0,是,否,4.4885224
及时性优先,局部组批重排,0,46,加权逾期,当前模型已证最优,210,0,0.0,是,是,0.3076737
及时性优先,局部组批重排,0,46,最后返航,可行，未证最优,210,8256696,7586667.0,否,否,6.5403392
及时性优先,局部组批重排,0,46,能耗,当前模型已证最优,210,87775269512,87775269512.0,是,否,1.1471244
及时性优先,局部组批重排,0,46,架次,当前模型已证最优,210,32,32.0,是,否,0.3000765
及时性优先,局部组批重排,1,47,加权逾期,当前模型已证最优,98,0,0.0,是,是,0.2327037
及时性优先,局部组批重排,1,47,最后返航,可行，未证最优,98,7961355,7367169.0,否,否,6.585154200000001
及时性优先,局部组批重排,1,47,能耗,当前模型已证最优,98,86046859869,86046859869.0,是,否,3.2101567
及时性优先,局部组批重排,1,47,架次,当前模型已证最优,98,31,31.0,是,否,0.0713175
及时性优先,局部组批重排,2,48,加权逾期,可行，未证最优,316,30340430,0.0,否,否,4.9884094
及时性优先,局部组批重排,2,48,最后返航,可行，未证最优,316,11024672,6945497.0,否,否,4.967574600000001
及时性优先,局部组批重排,2,48,能耗,可行，未证最优,316,85966433370,80127577089.0,否,否,4.9417746000000005
及时性优先,局部组批重排,2,48,架次,可行，未证最优,316,30,28.0,否,否,4.896929500000001
及时性优先,局部组批重排,0,49,加权逾期,可行，未证最优,190,8284648,0.0,否,否,4.9899705
及时性优先,局部组批重排,0,49,最后返航,可行，未证最优,190,9552915,7217679.0,否,否,4.9842873
及时性优先,局部组批重排,0,49,能耗,当前模型已证最优,190,85507664617,85507664617.0,是,否,1.4609253
及时性优先,局部组批重排,0,49,架次,当前模型已证最优,190,32,32.0,是,否,0.4643526
及时性优先,局部组批重排,1,50,加权逾期,当前模型已证最优,280,0,0.0,是,是,3.3946801000000004
及时性优先,局部组批重排,1,50,最后返航,可行，未证最优,280,9424444,7364620.0,否,否,5.5095504
及时性优先,局部组批重排,1,50,能耗,可行，未证最优,280,99821854987,86303009634.0,否,否,5.485327600000001
及时性优先,局部组批重排,1,50,架次,可行，未证最优,280,37,31.0,否,否,5.4532406
及时性优先,局部组批重排,2,51,加权逾期,可行，未证最优,80,2294160,0.0,否,否,5.0055639
及时性优先,局部组批重排,2,51,最后返航,可行，未证最优,80,9735675,7546013.0,否,否,4.9920565
及时性优先,局部组批重排,2,51,能耗,可行，未证最优,80,87235869972,86678746370.0,否,否,4.9876236
及时性优先,局部组批重排,2,51,架次,当前模型已证最优,80,32,32.0,是,否,0.0838238
及时性优先,局部组批重排,0,52,加权逾期,限时未取得新解,133,,0.0,否,否,4.9935973
及时性优先,局部组批重排,1,53,加权逾期,可行，未证最优,210,1694292,0.0,否,否,4.9895568
及时性优先,局部组批重排,1,53,最后返航,可行，未证最优,210,9171139,6970016.0,否,否,4.980796300000001
及时性优先,局部组批重排,1,53,能耗,当前模型已证最优,210,82387825107,82387825107.0,是,否,2.9725628000000004
及时性优先,局部组批重排,1,53,架次,当前模型已证最优,210,31,31.0,是,否,0.46563930000000003
及时性优先,局部组批重排,2,54,加权逾期,限时未取得新解,110,,0.0,否,否,4.995150000000001
及时性优先,局部组批重排,0,55,加权逾期,限时未取得新解,974,,0.0,否,否,4.9448137
及时性优先,局部组批重排,1,56,加权逾期,当前模型已证最优,180,0,0.0,是,是,3.4548127
及时性优先,局部组批重排,1,56,最后返航,可行，未证最优,180,9537066,7222228.0,否,否,5.4953495000000006
及时性优先,局部组批重排,1,56,能耗,可行，未证最优,180,98865147154,85507664617.0,否,否,5.4860932
及时性优先,局部组批重排,1,56,架次,可行，未证最优,180,37,32.0,否,否,5.4661608
及时性优先,局部组批重排,2,57,加权逾期,当前模型已证最优,280,0,0.0,是,是,0.4561619
及时性优先,局部组批重排,2,57,最后返航,可行，未证最优,280,8005088,7006676.0,否,否,6.4857664
及时性优先,局部组批重排,2,57,能耗,当前模型已证最优,280,81863733824,81863733824.0,是,否,4.9381789000000005
及时性优先,局部组批重排,2,57,架次,当前模型已证最优,280,30,30.0,是,否,0.4068686
及时性优先,局部组批重排,0,58,加权逾期,当前模型已证最优,91,0,0.0,是,是,2.4038859
及时性优先,局部组批重排,0,58,最后返航,可行，未证最优,91,9480617,7554730.0,否,否,5.8571847
及时性优先,局部组批重排,0,58,能耗,可行，未证最优,91,88394095563,86623104563.0,否,否,5.8532264000000005
及时性优先,局部组批重排,0,58,架次,当前模型已证最优,91,33,33.0,是,否,0.2624768
及时性优先,局部组批重排,1,59,加权逾期,可行，未证最优,237,25842154,0.0,否,否,4.9868598
及时性优先,局部组批重排,1,59,最后返航,可行，未证最优,237,9714949,7249712.0,否,否,4.977615200000001
及时性优先,局部组批重排,1,59,能耗,可行，未证最优,237,97947174585,83974460454.0,否,否,4.964947400000001
及时性优先,局部组批重排,1,59,架次,可行，未证最优,237,37,31.0,否,否,4.9365106
及时性优先,局部组批重排,2,60,加权逾期,可行，未证最优,178,6214470,0.0,否,否,4.9931454
及时性优先,局部组批重排,2,60,最后返航,可行，未证最优,178,8937357,7419664.0,否,否,4.9840154000000005
及时性优先,局部组批重排,2,60,能耗,当前模型已证最优,178,87261026906,87261026906.0,是,否,3.0107439
及时性优先,局部组批重排,2,60,架次,当前模型已证最优,178,32,32.0,是,否,0.1891306
及时性优先,局部组批重排,0,61,加权逾期,当前模型已证最优,98,0,0.0,是,是,0.10215450000000001
及时性优先,局部组批重排,0,61,最后返航,可行，未证最优,98,8346158,7510699.0,否,否,6.621004200000001
